,row,col,StemTag,frac,Feb_B02,Feb_B03,Feb_B04,Feb_B05,Feb_B06,Feb_B07,Feb_B08,Feb_B8A,Feb_B11,Feb_B12,Mar_B02,Mar_B03,Mar_B04,Mar_B05,Mar_B06,Mar_B07,Mar_B08,Mar_B8A,Mar_B11,Mar_B12,Jun_B02,Jun_B03,Jun_B04,Jun_B05,Jun_B06,Jun_B07,Jun_B08,Jun_B8A,Jun_B11,Jun_B12,Jul_B02,Jul_B03,Jul_B04,Jul_B05,Jul_B06,Jul_B07,Jul_B08,Jul_B8A,Jul_B11,Jul_B12,Aug_B02,Aug_B03,Aug_B04,Aug_B05,Aug_B06,Aug_B07,Aug_B08,Aug_B8A,Aug_B11,Aug_B12,Sep_B02,Sep_B03,Sep_B04,Sep_B05,Sep_B06,Sep_B07,Sep_B08,Sep_B8A,Sep_B11,Sep_B12,Oct_B02,Oct_B03,Oct_B04,Oct_B05,Oct_B06,Oct_B07,Oct_B08,Oct_B8A,Oct_B11,Oct_B12,Nov_B02,Nov_B03,Nov_B04,Nov_B05,Nov_B06,Nov_B07,Nov_B08,Nov_B8A,Nov_B11,Nov_B12,status,BBD,BLD,year,crown_intact,crown_living,FAD,Apr_B02,Apr_B03,Apr_B04,Apr_B05,Apr_B06,Apr_B07,Apr_B08,Apr_B8A,Apr_B11,Apr_B12,Dec_B02,Dec_B03,Dec_B04,Dec_B05,Dec_B06,Dec_B07,Dec_B08,Dec_B8A,Dec_B11,Dec_B12,Jan_B02,Jan_B03,Jan_B04,Jan_B05,Jan_B06,Jan_B07,Jan_B08,Jan_B8A,Jan_B11,Jan_B12,May_B02,May_B03,May_B04,May_B05,May_B06,May_B07,May_B08,May_B8A,May_B11,May_B12
10,15,48,261167,6.937607346139362,0.0338,0.0571,0.0633,0.1147,0.217,0.2492,0.2773,0.2756,0.1109,0.0705,0.026,0.0437,0.0443,0.0833,0.1709,0.1955,0.2186,0.2231,0.1714,0.0941,0.0284,0.0568,0.024,0.0942,0.3315,0.4052,0.4121,0.4225,0.1772,0.0738,0.1621,0.1428,0.0974,0.1358,0.3054,0.3719,0.3817,0.3864,0.1853,0.0779,0.0294,0.0429,0.0233,0.0695,0.2619,0.3284,0.3408,0.3458,0.167,0.0687,0.0345,0.0509,0.0271,0.0749,0.2476,0.3059,0.311,0.3293,0.1596,0.0674,0.0137,0.043,0.0275,0.0915,0.2195,0.2464,0.2791,0.274,0.1501,0.0686,0.0188,0.0325,0.0388,0.0713,0.1396,0.1605,0.1888,0.1984,0.1351,0.074,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14,48,261213,0.014070620226740781,0.0135,0.0388,0.0448,0.0964,0.1978,0.2293,0.2547,0.2589,0.1082,0.0685,0.023,0.0412,0.0389,0.0803,0.168,0.191,0.2179,0.2194,0.1628,0.0894,0.0293,0.0598,0.0242,0.0947,0.3295,0.4035,0.4018,0.4217,0.1771,0.0737,0.1641,0.1433,0.0981,0.1357,0.3056,0.3683,0.3813,0.3851,0.1829,0.077,0.0292,0.0434,0.0224,0.0694,0.259,0.3239,0.341,0.3415,0.165,0.0677,0.0363,0.0526,0.0274,0.0748,0.242,0.3046,0.3095,0.3239,0.1573,0.0659,0.0149,0.0421,0.0282,0.0853,0.2059,0.233,0.2792,0.2616,0.1431,0.0663,0.0158,0.031,0.0311,0.0689,0.128,0.1471,0.1756,0.1875,0.1298,0.0713,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15,47,261213,4.470742319229391,0.0491,0.0757,0.0868,0.169,0.2768,0.2996,0.3077,0.3245,0.1139,0.0754,0.0267,0.0448,0.047,0.0897,0.1725,0.2002,0.2326,0.2293,0.1832,0.1022,0.0287,0.0572,0.0257,0.0947,0.3227,0.3896,0.3814,0.4086,0.1761,0.0741,0.1638,0.1434,0.098,0.1362,0.3045,0.3665,0.3662,0.3823,0.1817,0.0773,0.0303,0.0439,0.024,0.0703,0.2553,0.3168,0.3287,0.3402,0.1653,0.068,0.0343,0.0511,0.0276,0.075,0.2413,0.2993,0.2998,0.3206,0.1576,0.0661,0.0158,0.0444,0.0282,0.0914,0.2111,0.2424,0.2683,0.2706,0.1511,0.0695,0.0178,0.0353,0.0357,0.07,0.1392,0.1638,0.2021,0.1974,0.1353,0.0736,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,48,261213,6.203756181331155,0.0338,0.0571,0.0633,0.1147,0.217,0.2492,0.2773,0.2756,0.1109,0.0705,0.026,0.0437,0.0443,0.0833,0.1709,0.1955,0.2186,0.2231,0.1714,0.0941,0.0284,0.0568,0.024,0.0942,0.3315,0.4052,0.4121,0.4225,0.1772,0.0738,0.1621,0.1428,0.0974,0.1358,0.3054,0.3719,0.3817,0.3864,0.1853,0.0779,0.0294,0.0429,0.0233,0.0695,0.2619,0.3284,0.3408,0.3458,0.167,0.0687,0.0345,0.0509,0.0271,0.0749,0.2476,0.3059,0.311,0.3293,0.1596,0.0674,0.0137,0.043,0.0275,0.0915,0.2195,0.2464,0.2791,0.274,0.1501,0.0686,0.0188,0.0325,0.0388,0.0713,0.1396,0.1605,0.1888,0.1984,0.1351,0.074,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,18,51,281383,7.272089385240232,,,,,,,,,,,0.0364,0.0541,0.0655,0.1009,0.1723,0.1961,0.253,0.2337,0.205,0.1231,0.0291,0.059,0.0246,0.0944,0.3171,0.3843,0.3792,0.4015,0.1761,0.0762,0.154,0.1382,0.0941,0.1323,0.2977,0.3606,0.363,0.3752,0.1821,0.0785,0.0279,0.0438,0.0225,0.0684,0.2458,0.3052,0.3109,0.3258,0.1662,0.0695,0.0339,0.0515,0.0281,0.0753,0.2348,0.2887,0.2931,0.3116,0.1599,0.0688,0.0173,0.0502,0.0389,0.1035,0.2131,0.2446,0.2799,0.2785,0.1621,0.0764,0.021,0.0361,0.0476,0.083,0.1421,0.171,0.1897,0.2075,0.1524,0.0862,AU,1.0,0.0,2021,100.0,100.0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18,52,281383,0.7997293081907386,,,,,,,,,,,0.0356,0.0532,0.0673,0.0998,0.1622,0.1909,0.2379,0.2307,0.2071,0.1235,0.0273,0.0592,0.0247,0.0933,0.3175,0.3851,0.3878,0.4022,0.1748,0.0753,0.1548,0.1383,0.0938,0.1316,0.2977,0.3571,0.3611,0.3724,0.1798,0.0778,0.0262,0.0422,0.0219,0.0677,0.2416,0.2977,0.3061,0.32,0.1635,0.0676,0.034,0.0493,0.0267,0.0742,0.2298,0.2809,0.2818,0.3027,0.1549,0.0671,0.0143,0.0437,0.0371,0.1011,0.1999,0.2356,0.2569,0.266,0.1564,0.0736,0.0205,0.0334,0.0451,0.08,0.1347,0.163,0.1717,0.1972,0.1483,0.0848,AU,1.0,0.0,2021,100.0,100.0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19,51,281383,0.015699515601085432,,,,,,,,,,,0.0396,0.0562,0.0711,0.1012,0.1653,0.1901,0.2471,0.2265,0.2077,0.1271,0.0285,0.0582,0.0247,0.0946,0.3129,0.3778,0.3849,0.3969,0.1774,0.0776,0.1538,0.1379,0.0951,0.1319,0.294,0.3575,0.3621,0.372,0.1814,0.0789,0.027,0.0431,0.0232,0.069,0.2436,0.3019,0.3217,0.3222,0.1661,0.07,0.034,0.0503,0.0283,0.0762,0.2339,0.2853,0.2947,0.3078,0.1605,0.0699,0.0188,0.0494,0.0432,0.1057,0.2124,0.2421,0.3034,0.2803,0.169,0.0814,0.0235,0.0413,0.0572,0.087,0.1475,0.1771,0.2207,0.2143,0.1583,0.0899,AU,1.0,0.0,2021,100.0,100.0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,19,50,281321,7.226088717517663,,,,,,,,,,,0.0329,0.051,0.0595,0.1059,0.1815,0.2009,0.2431,0.2336,0.2061,0.1277,0.0293,0.0588,0.0252,0.0955,0.3113,0.3762,0.3902,0.3926,0.1794,0.0792,0.1551,0.1383,0.0958,0.1325,0.292,0.359,0.3648,0.3731,0.1829,0.0803,0.0269,0.0443,0.0238,0.0715,0.2487,0.3103,0.317,0.327,0.1688,0.0732,0.0355,0.0501,0.029,0.0785,0.2397,0.291,0.2956,0.3186,0.1658,0.072,0.0175,0.05,0.0371,0.1063,0.229,0.2509,0.303,0.2877,0.1736,0.084,0.0226,0.0393,0.0542,0.0908,0.1569,0.1846,0.2181,0.2247,0.1609,0.0902,AU,1.0,0.0,2021,75.0,58.0,"R,I,F,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,51,281321,4.1603039363448975,,,,,,,,,,,0.0396,0.0562,0.0711,0.1012,0.1653,0.1901,0.2471,0.2265,0.2077,0.1271,0.0285,0.0582,0.0247,0.0946,0.3129,0.3778,0.3849,0.3969,0.1774,0.0776,0.1538,0.1379,0.0951,0.1319,0.294,0.3575,0.3621,0.372,0.1814,0.0789,0.027,0.0431,0.0232,0.069,0.2436,0.3019,0.3217,0.3222,0.1661,0.07,0.034,0.0503,0.0283,0.0762,0.2339,0.2853,0.2947,0.3078,0.1605,0.0699,0.0188,0.0494,0.0432,0.1057,0.2124,0.2421,0.3034,0.2803,0.169,0.0814,0.0235,0.0413,0.0572,0.087,0.1475,0.1771,0.2207,0.2143,0.1583,0.0899,AU,1.0,0.0,2021,75.0,58.0,"R,I,F,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,53,291714,17.17426744832482,0.0996,0.1187,0.1231,0.1925,0.2761,0.293,0.2891,0.3148,0.1077,0.077,0.0286,0.0446,0.0514,0.0903,0.1601,0.1839,0.2133,0.2137,0.1839,0.1083,0.0262,0.0567,0.0241,0.092,0.3058,0.3711,0.3775,0.3895,0.1691,0.0726,0.1554,0.139,0.0955,0.1305,0.2911,0.3507,0.3494,0.367,0.1761,0.0754,0.0256,0.0418,0.0217,0.0664,0.2337,0.2913,0.2845,0.3142,0.1581,0.0651,0.0334,0.0465,0.0261,0.0721,0.2222,0.2699,0.2586,0.294,0.1485,0.0633,0.0118,0.0351,0.0278,0.0861,0.1879,0.2176,0.2138,0.2462,0.1437,0.0674,0.0163,0.0291,0.0361,0.0709,0.1261,0.1506,0.1515,0.1844,0.1342,0.0756,AU,1.0,0.0,2021,100.0,100.0,"LF,R,F,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18,54,291714,13.084116437714027,0.0181,0.0456,0.0517,0.1158,0.2152,0.2262,0.2502,0.264,0.1035,0.069,0.0222,0.0408,0.0384,0.0816,0.1585,0.1784,0.2177,0.1988,0.1626,0.094,0.0281,0.0551,0.0257,0.0908,0.2945,0.3577,0.3443,0.3777,0.1639,0.0701,0.1562,0.1387,0.0968,0.1295,0.2852,0.3449,0.3349,0.3622,0.1726,0.0731,0.0267,0.0414,0.0221,0.0653,0.2266,0.2853,0.2706,0.3086,0.1532,0.0629,0.0333,0.0472,0.0265,0.0702,0.215,0.26,0.2471,0.2852,0.1425,0.0598,0.0121,0.0329,0.0225,0.0725,0.1768,0.2006,0.2087,0.228,0.132,0.0617,0.0138,0.0283,0.0285,0.0627,0.1181,0.1393,0.157,0.1724,0.1211,0.0671,AU,1.0,0.0,2021,100.0,100.0,"LF,R,F,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19,53,291714,0.7813334024859133,,,,,,,,,,,0.0293,0.043,0.0504,0.0896,0.1549,0.1758,0.1833,0.2075,0.1849,0.1123,0.0275,0.0545,0.0232,0.0927,0.3086,0.3705,0.3838,0.3908,0.17,0.073,0.1562,0.1376,0.0956,0.1302,0.292,0.3517,0.3587,0.367,0.1777,0.0752,0.0255,0.0397,0.021,0.0666,0.2373,0.2951,0.3075,0.3184,0.1602,0.0656,0.0337,0.0462,0.0256,0.0725,0.2274,0.2724,0.2792,0.2977,0.1503,0.0641,0.0141,0.0386,0.0291,0.09,0.1922,0.2264,0.245,0.2586,0.1534,0.0727,0.018,0.0318,0.0421,0.0748,0.1367,0.1641,0.1718,0.1969,0.1431,0.0806,AU,1.0,0.0,2021,100.0,100.0,"LF,R,F,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,10,81091,8.634904600749174,1e-04,0.0364,0.0299,0.0826,0.1836,0.2105,0.2115,0.2294,0.0963,0.0534,0.0171,0.0395,0.0276,0.0809,0.1713,0.1913,0.1949,0.2148,0.1224,0.0603,0.0302,0.0613,0.0321,0.0954,0.2279,0.264,0.2533,0.2799,0.1531,0.0724,0.1644,0.1454,0.1,0.1362,0.2483,0.2871,0.2768,0.289,0.1541,0.0732,0.0291,0.0433,0.0256,0.0697,0.1731,0.2044,0.2004,0.22,0.136,0.063,0.0354,0.0503,0.0299,0.0737,0.1712,0.1974,0.1918,0.2142,0.1282,0.0603,0.0122,0.0313,0.0208,0.0656,0.1341,0.1486,0.16,0.1689,0.1124,0.056,0.0147,0.0303,0.0217,0.0574,0.1179,0.1312,0.1458,0.1516,0.1023,0.0541,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21,11,81091,5.582637422589761,0.0119,0.0428,0.0388,0.0855,0.1831,0.2099,0.2255,0.2317,0.0994,0.0556,0.0183,0.0368,0.0284,0.0824,0.1692,0.1896,0.1917,0.2109,0.1262,0.0632,0.0282,0.0584,0.0299,0.0961,0.2322,0.2663,0.2699,0.2856,0.1534,0.0718,0.1647,0.1475,0.1035,0.1379,0.2511,0.2915,0.2783,0.2943,0.1547,0.072,0.0278,0.0431,0.0249,0.0704,0.1763,0.2101,0.2193,0.2272,0.137,0.0621,0.0346,0.0504,0.0283,0.0751,0.1759,0.2041,0.2032,0.2218,0.1291,0.0598,0.0139,0.0359,0.0266,0.0696,0.1415,0.1609,0.1764,0.179,0.1145,0.0569,0.013,0.0337,0.024,0.0592,0.1205,0.137,0.1458,0.1576,0.1058,0.0556,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,10,81091,42.863296901361245,0.0017,0.0367,0.0328,0.0879,0.1966,0.2267,0.2523,0.2459,0.1009,0.056,0.0163,0.0411,0.0265,0.0822,0.1777,0.1984,0.2199,0.2268,0.1264,0.0626,0.0306,0.0619,0.0318,0.097,0.2379,0.273,0.2794,0.2879,0.1541,0.0725,0.1639,0.1452,0.1012,0.1363,0.2537,0.296,0.2915,0.2988,0.1557,0.0728,0.029,0.0454,0.026,0.0707,0.1823,0.215,0.2241,0.2353,0.1383,0.063,0.0365,0.0509,0.0302,0.0753,0.1807,0.2101,0.2102,0.2256,0.1303,0.0601,0.0127,0.0343,0.0236,0.0711,0.1473,0.1618,0.1817,0.1837,0.118,0.0585,0.014,0.0309,0.0256,0.0599,0.127,0.1375,0.1504,0.1583,0.1062,0.0569,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22,11,81091,9.574231306440993,0.0121,0.0501,0.0443,0.0912,0.1935,0.2244,0.2615,0.242,0.1054,0.0595,0.0176,0.0412,0.0313,0.0845,0.1769,0.1955,0.2194,0.2205,0.1319,0.0671,0.0298,0.06,0.0299,0.0975,0.2487,0.2838,0.2994,0.3003,0.1554,0.0722,0.1653,0.1474,0.1038,0.1378,0.2589,0.3018,0.299,0.304,0.1567,0.0719,0.0281,0.0441,0.0243,0.0716,0.1879,0.2247,0.2342,0.2446,0.1396,0.0616,0.036,0.0517,0.0289,0.0767,0.1882,0.2189,0.2215,0.2386,0.1316,0.0595,0.0129,0.0363,0.0267,0.0758,0.1582,0.1767,0.1918,0.196,0.1208,0.0595,0.0129,0.0301,0.0261,0.0612,0.1263,0.1413,0.1472,0.1654,0.1108,0.0591,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
