OBJECTID,StemTag,quadrat,subquadrat,sp,lx,ly,previous_dbh,status_2023,notes_2023,fad_2023,wound_2023,rot_2023,canker_2023,tag,UTMX,UTMY,status_2024,wound_2024,rot_2024,canker_2024,crown_living,crown_intact,crown_position,fad_2024,fad_choices,liana_load,lean_angle,dead_resprout,crown_check,lean_direction,comment_mortality_2024,mort_census,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1390,30101,302,11,fagugr,9.24,0.34,10.7,DS,BBD,"I,K",NA,NA,3,30101,731641.2353,4713244.3398,DS,NA,NA,NA,0,67,2,NA,NA,NA,NA,NA,NA,NA,NA,finished,6b05997e-416f-4b0b-8d69-9f5139a336cc,2024-07-03T17:50:17Z,shuej21,2024-07-07T14:02:03Z,johnson.daniel_ufl,-72.1792601335319,42.5368763682102
1408,30156,302,21,fagugr,2.64,8.19,11.7,AU,BBD,"I,K",NA,NA,3,30156,731644.6423,4713252.1862,AU,2,2,2,71,88,2,"K,W,R",R,NA,NA,NA,NA,NA,NA,finished,bc2ce9f1-a003-472a-b21a-2cb9fd8d86a4,2024-07-03T17:50:17Z,shuej21,2024-07-07T14:05:34Z,johnson.daniel_ufl,-72.17921551511,42.5369459250321
1413,30176,302,21,fagugr,6.53,5.36,45.5,DS,NA,NA,NA,NA,NA,30176,731648.5334,4713249.3637,DS,NA,NA,NA,0,19,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,a75f7d08-d707-41c9-838d-1a59b48bfbfc,2024-07-03T17:50:17Z,shuej21,2024-07-07T13:59:55Z,johnson.daniel_ufl,-72.179169331823,42.5369193709414
1415,30181,302,21,fagugr,9.54,1.22,NA,DS,NA,NA,NA,NA,NA,30181,731651.5379,4713245.2171,DS,NA,NA,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,finished,239d0ce1-1fb4-49d2-9a8c-cfaa8f036eff,2024-07-03T17:50:17Z,shuej21,2024-07-07T13:56:57Z,johnson.daniel_ufl,-72.1791344691051,42.5368811724019
1416,30184,302,21,fagugr,3.17,0.48,17.9,DS,NA,NA,NA,NA,NA,30184,731645.1736,4713244.4828,DS,NA,NA,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,finished,c5a1f68b-e2d4-4481-b7a6-0446151b68a5,2024-07-03T17:50:17Z,shuej21,2024-07-07T14:01:09Z,johnson.daniel_ufl,-72.1792121742755,42.5368764747788
1644,31078,311,22,fagugr,5.58,4.07,30.2,AU,Bbd,K,NA,NA,2,31078,731647.5828,4713438.067,AU,NA,NA,2,89,94,3,K,K,NA,NA,NA,NA,NA,BBD,finished,6fe88d89-63e3-4999-af41-33a613e2fbf4,2024-07-03T17:50:17Z,shuej21,2024-07-07T18:44:10Z,johnson.daniel_ufl,-72.1791044348319,42.5386170202068
1824,31666,319,21,fagugr,8.51,2.82,NA,DC,NA,NA,NA,NA,NA,31666,731650.5137,4713586.82401,DC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,finished,784b0596-a042-45e7-9db4-ac66eee0e511,2024-07-03T17:50:17Z,shuej21,2024-07-08T15:09:53Z,johnson.daniel_ufl,-72.179008507336,42.5399541940308
1893,32534,322,21,fagugr,1.23,2.96,18.7,A,NA,NA,NA,NA,NA,32534,731643.23,4713646.96399,A,NA,NA,NA,100,100,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,841d0b89-0d22-476e-9007-a70a60e032de,2024-07-03T17:50:17Z,shuej21,2024-07-09T13:37:58Z,johnson.daniel_ufl,-72.1790727314889,42.5404973291551
1944,32905,324,22,fagugr,4.74,9.73,22.8,AU,BBD,"I,W",3,NA,NA,32905,731646.7395,4713703.733,AU,NA,NA,1,97,100,2,"K,F",F,NA,NA,NA,NA,NA,NA,finished,6dd8687f-049d-43de-8a2f-4b461c0279e2,2024-07-03T17:50:17Z,shuej21,2024-07-17T11:18:25Z,johnson.daniel_ufl,-72.1790070385905,42.541006907899
1977,33063,325,21,fagugr,6.48,5.24,13.3,AU,BBD,"I,K",NA,NA,2,33063,731648.4768,4713709.23599,AU,2,2,2,65,67,1,"W,R,K,B",B,NA,NA,NA,NA,NA,NA,finished,7c713486-9ee5-4da4-b9a3-add7e584b492,2024-07-03T17:50:17Z,shuej21,2024-07-10T13:53:53Z,johnson.daniel_ufl,-72.1789836770032,42.5410558858181
2050,40197,402,21,fagugr,6.09,5.11,10,DS,NA,NA,NA,NA,NA,40197,731668.0917,4713249.1092,DS,NA,NA,NA,0,25,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,61782b3d-9830-4590-a12a-bcd386aefa00,2024-07-03T17:50:17Z,shuej21,2024-07-07T14:28:03Z,ccavender_ufl,-72.1789315504622,42.5369112214274
2054,40208,403,11,fagugr,0.49,9.34,NA,DS,NA,NA,NA,NA,NA,40208,731652.4857,4713273.335,DS,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,58f496f7-d062-48dc-b847-63ecb7062de8,2024-07-03T17:50:17Z,shuej21,2024-07-07T15:58:02Z,ccavender_ufl,-72.1791115485906,42.5371338056405
2145,40652,406,22,fagugr,3.32,3.82,15,A,NA,NA,NA,NA,NA,40652,731665.316,4713337.816,A,NA,NA,NA,100,100,4,NA,NA,NA,NA,NA,NA,NA,NA,finished,7c920fd6-2018-4a15-a481-8ab9ab80bcf8,2024-07-03T17:50:17Z,shuej21,2024-07-07T18:29:31Z,ccavender_ufl,-72.1789293666577,42.5377099607543
2150,40665,406,22,fagugr,8.66,2.77,12.5,DS,NA,"K,F,I,W",3,NA,3,40665,731670.6553,4713336.768,DS,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,76acdd7f-a4a9-4611-a104-3d41d71e3399,2024-07-03T17:50:17Z,shuej21,2024-07-07T18:49:33Z,ccavender_ufl,-72.178864849654,42.5376989340292
2152,40668,406,22,fagugr,8.27,1.2,10,AU,NA,F,NA,NA,NA,40668,731670.2692,4713335.202,AU,NA,NA,NA,100,100,3,F,F,NA,NA,NA,NA,NA,Could be healthy. Unsure if this is fungi,finished,419ecf11-5143-4152-a86b-1bdc699a3509,2024-07-03T17:50:17Z,shuej21,2024-07-07T18:51:22Z,ccavender_ufl,-72.1788701802569,42.5376849637966
2180,40733,407,21,fagugr,4.42,5.21,NA,DC,NA,NA,NA,NA,NA,40733,731666.4196,4713349.206,DN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,finished,61a06b55-41e6-4980-9a9f-3f9d0c17fbd5,2024-07-03T17:50:17Z,shuej21,2024-07-07T19:16:03Z,ccavender_ufl,-72.1789113284868,42.5378120811488
2388,41327,415,21,fagugr,5.75,1.75,NA,DC,NA,NA,NA,NA,NA,41327,731667.7479,4713505.755,DC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decapitated,finished,770c0e8f-ead0-40e9-ba98-395b803643e5,2024-07-03T17:50:17Z,shuej21,2024-07-08T17:16:40Z,ccavender_ufl,-72.1788317332611,42.5392198233095
2432,41587,418,22,fagugr,1.65,7.32,28.5,AU,Bbd,"F,I,LF,B,K",NA,NA,2,41587,731663.6528,4713581.32401,AU,2,1,1,100,100,3,"I,F,W,R,K,AN",AN,NA,NA,NA,NA,NA,BBD,finished,a3a59bca-39e8-4a88-ac27-cc4bf07a6cda,2024-07-03T17:50:17Z,shuej21,2024-07-09T13:48:56Z,ccavender_ufl,-72.1788509194789,42.5399007845916
2446,41648,419,11,fagugr,9.52,4.53,39.2,AU,Bbd,"K,I,F,W,R",3,3,NA,41648,731661.5177,4713588.52499,AU,3,3,1,95,97,2,"I,F,W,R,H,K",K,NA,NA,NA,NA,NA,NA,finished,0928dace-8ed3-45ca-9393-936a96b1bd3c,2024-07-03T17:50:17Z,shuej21,2024-07-09T14:07:36Z,ccavender_ufl,-72.1788739711474,42.5399661966365
2588,42565,424,11,fagugr,5.03,0.38,32,A,NA,NA,NA,NA,NA,42565,731657.0292,4713684.37601,A,NA,NA,NA,100,100,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,1c664de3-6205-4f87-85ee-97509b325fe2,2024-07-03T17:50:17Z,shuej21,2024-07-10T21:22:06Z,ccavender_ufl,-72.1788897231059,42.5408297103531
2748,50316,503,22,fagugr,8,0.35,NA,DS,NA,NA,NA,NA,NA,50316,731689.999,4713274.3474,DS,NA,NA,NA,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,939601f2-7f80-4335-aa66-4c1be531b80e,2024-07-03T17:50:17Z,shuej21,2024-07-07T15:12:54Z,j.bouchard_ufl,-72.1786548684564,42.5371316709678
3900,61581,618,21,fagugr,1.59,8.22,14.5,AU,Bbd,K,NA,NA,NA,61581,731703.588,4713572.21799,AU,NA,NA,3,92,96,3,K,K,NA,NA,NA,NA,NA,NA,finished,165754de-d13e-4112-92a8-8696b1ca48d3,2024-07-03T17:50:17Z,shuej21,2024-07-08T18:16:43Z,dcayetano_ufl,-72.1783688619379,42.5398069080903
3977,61744,620,21,fagugr,0.71,6.16,11.6,AU,Bbd,K,NA,NA,2,61744,731702.707,4713610.15799,AU,NA,NA,2,80,92,1,"K,DF",DF,NA,NA,NA,NA,NA,NA,finished,d5ec1ddf-ec73-456e-995e-9aad341e7622,2024-07-03T17:50:17Z,shuej21,2024-07-09T13:21:49Z,dcayetano_ufl,-72.1783641996816,42.540148438189
4728,71571,719,11,fagugr,2.91,3.72,10.2,AU,BBD,"I,W",2,NA,NA,71571,731714.914,4713587.72299,AU,NA,NA,NA,87,90,1,I,I,NA,NA,NA,NA,NA,BBD; couldn’t find wound,finished,c04760ab-a727-4034-b040-bed461b631d3,2024-07-03T17:50:17Z,shuej21,2024-07-15T13:38:04Z,kdarocha_ufl,-72.1782248143871,42.539942979065
5151,80271,803,11,fagugr,3.54,9.89,20.8,DS,NA,NA,NA,NA,NA,80271,731735.54401,4713273.8857,DS,NA,NA,NA,0,76,1,NA,NA,NA,NA,NA,NA,NA,BBD,finished,5564d185-80f4-4dfd-a0a3-542b520d02fe,2024-07-03T17:50:17Z,shuej21,2024-07-11T16:49:54Z,jbudoffcorujo_ufl,-72.1781010966096,42.537113867463
5206,80418,804,22,fagugr,3.96,2.9,16.7,AU,BBD,DF,NA,NA,NA,80418,731745.959,4713296.9048,DS,NA,NA,3,0,95,1,"K,F",F,NA,NA,NA,NA,NA,BBD,finished,37b18fd9-70e4-49df-b392-cbd1e7422f57,2024-07-03T17:50:17Z,shuej21,2024-07-11T18:21:39Z,jbudoffcorujo_ufl,-72.1779650898789,42.5373177989361
5525,81009,813,11,fagugr,4.4,3.96,14.2,DS,BBD,K,NA,NA,2,81009,731736.396,4713467.955,DS,NA,NA,NA,0,13,1,NA,NA,NA,NA,NA,NA,NA,BBD,finished,98093112-def7-4c55-b21e-f1e4a751f34f,2024-07-03T17:50:17Z,shuej21,2024-07-15T13:25:06Z,jbudoffcorujo_ufl,-72.1780120699717,42.5388592414227
5555,81091,814,12,fagugr,1.44,2.33,35,A,NA,NA,NA,NA,NA,81091,731733.439,4713496.33099,A,NA,NA,NA,100,100,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,240c2cdb-ddc6-4c89-94be-2baf4ebc45c1,2024-07-03T17:50:17Z,shuej21,2024-07-15T14:00:42Z,jbudoffcorujo_ufl,-72.1780365346901,42.5391153660873
5637,81369,818,21,fagugr,0.97,2.51,14,AU,BBD,K,NA,NA,1,81369,731742.97501,4713566.51001,AU,NA,NA,1,100,100,3,K,K,NA,NA,NA,NA,NA,Some BBD near base,finished,aa06b1ac-d7af-471f-93c9-4c472c9f6b75,2024-07-03T17:50:17Z,shuej21,2024-07-15T15:13:02Z,jbudoffcorujo_ufl,-72.1778920963722,42.5397437588681
5660,81429,819,12,fagugr,8.18,1.64,10.1,AU,NA,"W,K",2,NA,1,81429,731740.17999,4713595.64301,AU,2,2,1,100,100,2,"W,R,K",K,NA,NA,NA,NA,NA,BBD,finished,9858941b-6a68-4802-803b-4c7202ac4aca,2024-07-03T17:50:17Z,shuej21,2024-07-15T16:05:37Z,jbudoffcorujo_ufl,-72.1779142829631,42.540006644355
5976,90145,902,21,fagugr,8.03,5.45,11.6,AU,BBD then broken top,"K,W,B,I",3,NA,3,90145,731770.03,4713249.4524,AU,3,2,3,5,8,1,"B,W,R,K",K,NA,NA,NA,NA,NA,NA,finished,45c7b42e-d090-4b3e-82c9-5df258ed7fcf,2024-07-03T17:50:17Z,shuej21,2024-07-17T11:17:22Z,johnson.daniel_ufl,-72.1776915528749,42.5368837545389
6715,100091,1001,22,fagugr,8.12,5.72,10.8,AU,BBD,"K,I",NA,NA,3,100091,731790.11501,4713239.72,AU,NA,NA,1,94,99,3,"I,K,LF",LF,NA,NA,NA,NA,NA,NA,finished,842b6674-a863-49cf-b60b-79ca50475b37,2024-07-03T17:50:17Z,shuej21,2024-07-11T14:07:27Z,ccavender_ufl,-72.1774512086207,42.5367901912222
6799,100294,1003,12,fagugr,8.17,2.28,13.5,A,NA,NA,NA,NA,NA,100294,731780.17,4713276.2777,A,NA,NA,NA,99,100,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,8ceeddbc-adcf-4faa-8071-6e8604eda6ec,2024-07-03T17:50:17Z,shuej21,2024-07-11T16:28:06Z,ccavender_ufl,-72.1775573472664,42.5371220050361
7069,100964,1010,22,fagugr,3.53,3.22,14.7,A,NA,NA,NA,NA,NA,100964,731785.533,4713417.216,A,NA,NA,NA,100,100,2,NA,NA,NA,NA,NA,NA,NA,NA,finished,36506b4a-9e44-49c1-8cd5-4b747cd3f422,2024-07-03T17:50:17Z,shuej21,2024-07-12T15:07:59Z,ccavender_ufl,-72.1774349778601,42.5383881194669
7161,101135,1013,22,fagugr,7.29,9.76,18,AU,BBD,"K,I",NA,NA,3,101135,731789.287,4713483.763,AU,NA,1,3,94,95,2,"F,K,R,I",I,NA,NA,NA,NA,NA,BBD,finished,0dd41a22-eb5f-49ba-b5aa-be9a2af46e0d,2024-07-03T17:50:17Z,shuej21,2024-07-12T17:38:56Z,ccavender_ufl,-72.177362336493,42.5389855753491
7414,101548,1020,12,fagugr,6.85,3.27,NA,DS,NA,NA,NA,NA,NA,101548,731778.854,4713617.26901,DS,NA,NA,NA,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,68ac5238-a9c6-4d55-b476-3254df8fe6f9,2024-07-03T17:50:17Z,shuej21,2024-07-15T17:07:34Z,ccavender_ufl,-72.1774351063192,42.5401895728226
7420,101571,1020,22,fagugr,6.46,6.88,11.6,AU,BBD. Main stem broken,"B,W,K",3,NA,2,101571,731788.45799,4713620.88,DS,3,1,1,0,65,1,"I,DF,B,W,K,R",R,NA,NA,NA,NA,NA,BBD,finished,e57e6574-b1a2-48cc-b387-265e0e785af7,2024-07-03T17:50:17Z,shuej21,2024-07-15T16:39:47Z,ccavender_ufl,-72.1773168242474,42.5402191734862
7443,101627,1021,12,fagugr,6.64,8.07,NA,DS,NA,NA,NA,NA,NA,101627,731778.642,4713642.07199,DS,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,0ac78e01-0908-47f7-80a6-327d83082bf1,2024-07-03T17:50:17Z,shuej21,2024-07-15T19:56:11Z,ccavender_ufl,-72.1774276278445,42.5404127357463
7463,101691,1022,11,fagugr,7.2,1.2,NA,DS,NA,NA,NA,NA,NA,101691,731779.198,4713645.198,DS,NA,NA,NA,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,54add450-aac5-43ee-838f-bb0504b46c3f,2024-07-03T17:50:17Z,shuej21,2024-07-15T19:53:39Z,ccavender_ufl,-72.1774195978041,42.5404406869017
7744,110339,1104,21,fagugr,9.22,5.82,12.4,A,NA,NA,NA,NA,NA,110339,731811.21899,4713289.8234,A,NA,NA,NA,96,98,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,2f665ee1-8bda-48c0-9594-e4c8adc3ed73,2024-07-03T17:50:17Z,shuej21,2024-07-11T17:14:10Z,j.bouchard_ufl,-72.1771742104078,42.537234537622
7881,110596,1108,11,fagugr,3.05,7.89,18.8,DS,NA,NA,NA,NA,NA,110596,731795.052,4713371.89301,DS,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,be79e2d1-6952-44a0-97db-5ce748c08eac,2024-07-03T17:50:17Z,shuej21,2024-07-12T14:00:58Z,j.bouchard_ufl,-72.1773375735339,42.5379775907348
